Iterations,Error,Accuracy
600,0.296824,0.717733
601,0.248911,0.71816
602,0.269662,0.718649
603,0.275886,0.719173
604,0.382307,0.719683
605,0.267536,0.720186
606,0.254219,0.720658
607,0.25347,0.721115
608,0.24397,0.721559
609,0.256938,0.721935
610,0.299072,0.72222
611,0.292652,0.722473
612,0.252976,0.722735
613,0.251369,0.722871
614,0.225481,0.722845
615,0.295873,0.722845
616,0.283328,0.72291
617,0.279711,0.723126
618,0.314918,0.723695
619,0.243755,0.724312
620,0.261154,0.724713
621,0.239268,0.72514
622,0.259343,0.725572
623,0.241236,0.725979
624,0.287055,0.726188
625,0.311227,0.726474
626,0.263962,0.726784
627,0.220494,0.727048
628,0.262357,0.727381
629,0.379086,0.727643
630,0.237486,0.728013
631,0.377231,0.728236
632,0.257912,0.728546
633,0.235641,0.728726
634,0.283357,0.728909
635,0.282504,0.729184
636,0.28105,0.72955
637,0.247172,0.729985
638,0.310669,0.730526
639,0.291299,0.731176
640,0.289668,0.731863
641,0.275603,0.732499
642,0.361766,0.733054
643,0.257486,0.73343
644,0.272906,0.733754
645,0.268482,0.734069
646,0.263752,0.734322
647,0.266178,0.73461
648,0.243434,0.734818
649,0.300613,0.735121
650,0.242907,0.735431
651,0.23833,0.735831
652,0.29861,0.736205
653,0.236405,0.736541
654,0.260267,0.736815
655,0.294723,0.737013
656,0.232799,0.737135
657,0.232308,0.737328
658,0.23,0.737594
659,0.255745,0.737763
660,0.237538,0.737992
661,0.254838,0.738299
662,0.253715,0.738656
663,0.358037,0.739026
664,0.250708,0.739417
665,0.225721,0.739741
666,0.256634,0.739946
667,0.255897,0.740157
668,0.264685,0.740369
669,0.21297,0.740633
670,0.257588,0.740959
671,0.254248,0.741329
672,0.253269,0.741733
673,0.251593,0.742151
674,0.224942,0.742424
675,0.258865,0.742657
676,0.230523,0.742855
677,0.242028,0.743056
678,0.249991,0.743247
679,0.354396,0.743447
680,0.254495,0.743727
681,0.242802,0.743991
682,0.243285,0.744125
683,0.240054,0.744249
684,0.239113,0.744432
685,0.22964,0.744678
686,0.247308,0.745131
687,0.23782,0.74562
688,0.237298,0.746118
689,0.239692,0.746625
690,0.235216,0.747073
691,0.22501,0.747493
692,0.224363,0.747984
693,0.244647,0.748358
694,0.221421,0.748704
695,0.348738,0.748878
696,0.233615,0.749019
697,0.217812,0.749129
698,0.2352,0.749259
699,0.284447,0.749329
700,0.214169,0.749604
701,0.249904,0.749674
702,0.219018,0.749995
703,0.343159,0.7504
704,0.213781,0.750792
705,0.246267,0.751164
706,0.279847,0.751646
707,0.203786,0.752176
708,0.211317,0.752619
709,0.252917,0.752951
710,0.280538,0.753335
711,0.287782,0.753666
712,0.286549,0.753978
713,0.209658,0.754215
714,0.277869,0.754274
715,0.230138,0.754224
716,0.23414,0.754294
717,0.201168,0.754385
718,0.228986,0.754593
719,0.205787,0.754933
720,0.23852,0.755161
721,0.239336,0.755429
722,0.246435,0.755807
723,0.237592,0.756184
724,0.204381,0.756637
725,0.341419,0.757022
726,0.208816,0.757547
727,0.235944,0.758057
728,0.273823,0.758522
729,0.241947,0.75897
730,0.206729,0.759362
731,0.219488,0.759722
732,0.22825,0.760034
733,0.202942,0.760298
734,0.27823,0.760545
735,0.277371,0.760793
736,0.331569,0.761008
737,0.238221,0.761191
738,0.22785,0.761332
739,0.267089,0.761493
740,0.199887,0.761692
741,0.265496,0.761874
742,0.226525,0.762066
743,0.226254,0.762253
744,0.267662,0.762463
745,0.234562,0.762687
746,0.195846,0.762918
747,0.194881,0.7631
748,0.223009,0.763224
749,0.218909,0.763546
750,0.231072,0.76401
751,0.194092,0.764435
752,0.229894,0.764849
753,0.231457,0.765201
754,0.190827,0.765423
755,0.189406,0.765557
756,0.188377,0.765572
757,0.225379,0.765535
758,0.224515,0.765559
759,0.184327,0.765628
760,0.259526,0.765602
761,0.181505,0.765669
762,0.331917,0.765648
763,0.274074,0.765805
764,0.229087,0.766141
765,0.256501,0.766544
766,0.328257,0.76698
767,0.20547,0.767474
768,0.18801,0.767952
769,0.228219,0.768337
770,0.214289,0.768664
771,0.226507,0.769031
772,0.185617,0.769329
773,0.221716,0.769536
774,0.266301,0.769824
775,0.247682,0.770049
776,0.225293,0.770185
777,0.176537,0.770402
778,0.201311,0.770651
779,0.180623,0.770949
780,0.263368,0.771187
781,0.222327,0.771411
782,0.198978,0.771749
783,0.197902,0.772069
784,0.196446,0.772338
785,0.259383,0.772524
786,0.222237,0.772596
787,0.257917,0.77269
788,0.217154,0.772727
789,0.262349,0.772802
790,0.246576,0.772838
791,0.220752,0.772923
792,0.254316,0.773116
793,0.22691,0.773304
794,0.188941,0.773637
795,0.173769,0.773926
796,0.178216,0.774298
797,0.177596,0.774634
798,0.206985,0.774919
799,0.24199,0.775252
800,0.212767,0.7755
801,0.205827,0.775673
802,0.173646,0.775865
803,0.218196,0.775962
804,0.249941,0.776208
805,0.214866,0.776433
806,0.223083,0.776692
807,0.222583,0.77689
808,0.221969,0.777126
809,0.248821,0.777401
810,0.19972,0.777697
811,0.198918,0.777961
812,0.213153,0.778194
813,0.212561,0.778486
814,0.216918,0.778801
815,0.246688,0.779073
816,0.208311,0.779377
817,0.245584,0.779592
818,0.185271,0.779832
819,0.184444,0.780026
820,0.221676,0.780149
821,0.182273,0.780273
822,0.180991,0.780335
823,0.208127,0.780327
824,0.207392,0.780469
825,0.211967,0.780737
826,0.222071,0.78097
827,0.320657,0.781233
828,0.220758,0.781534
829,0.218229,0.78177
830,0.217236,0.781954
831,0.215928,0.782087
832,0.206687,0.782173
833,0.208862,0.782348
834,0.269259,0.782458
835,0.203366,0.782679
836,0.208996,0.782951
837,0.268446,0.783144
838,0.240353,0.783407
839,0.265822,0.783764
840,0.217429,0.78413
841,0.216467,0.784528
842,0.214665,0.784936
843,0.212171,0.785305
844,0.195458,0.785579
845,0.169306,0.785628
846,0.204327,0.785636
847,0.175153,0.785525
848,0.255593,0.785382
849,0.193529,0.78527
850,0.193784,0.785243
851,0.193185,0.785196
852,0.218376,0.785125
853,0.177639,0.785284
854,0.237041,0.78553
855,0.188797,0.785936
856,0.207669,0.786212
857,0.324655,0.786625
858,0.204885,0.787261
859,0.202366,0.787842
860,0.317497,0.78835
861,0.185666,0.788792
862,0.198766,0.788932
863,0.253912,0.788947
864,0.209205,0.789072
865,0.253168,0.789159
866,0.186812,0.789398
867,0.173413,0.789599
868,0.186267,0.78984
869,0.198903,0.790058
870,0.166126,0.790397
871,0.234098,0.79074
872,0.301986,0.791134
873,0.164427,0.791427
874,0.195761,0.791663
875,0.230766,0.79189
876,0.161973,0.792048
877,0.237664,0.792105
878,0.209696,0.792108
879,0.169447,0.792195
880,0.244153,0.792289
881,0.242929,0.79249
882,0.174465,0.792742
883,0.209342,0.792956
884,0.234009,0.793218
885,0.193651,0.793389
886,0.223598,0.793644
887,0.190324,0.79378
888,0.232997,0.793946
889,0.184893,0.794006
890,0.166872,0.794135
891,0.188216,0.794256
892,0.173919,0.794448
