Iterations,Error
957,0.387992
958,0.387992
959,0.387992
960,0.387992
961,0.387992
962,0.387992
963,0.387992
964,0.387993
965,0.387993
966,0.387993
967,0.387993
968,0.387993
969,0.387993
970,0.387993
971,0.387993
972,0.387993
973,0.387993
974,0.387993
975,0.387994
976,0.387994
977,0.387994
978,0.387994
979,0.387994
980,0.387994
981,0.387994
982,0.387994
983,0.387994
984,0.387994
985,0.387994
986,0.387995
987,0.387995
988,0.387995
989,0.387995
990,0.387995
991,0.387995
992,0.387995
993,0.387995
994,0.387995
995,0.387995
996,0.387995
997,0.387996
998,0.387996
999,0.387996
1000,0.387996
1001,0.387996
1002,0.387996
1003,0.387996
1004,0.387996
1005,0.387996
1006,0.387996
1007,0.387996
1008,0.387997
1009,0.387997
1010,0.387997
1011,0.387997
1012,0.387997
1013,0.387997
1014,0.387997
1015,0.387997
1016,0.387997
1017,0.387997
1018,0.387997
1019,0.387998
1020,0.387998
1021,0.387998
1022,0.387998
1023,0.387998
1024,0.387998
1025,0.387998
1026,0.387998
1027,0.387998
1028,0.387998
1029,0.387998
1030,0.387999
1031,0.387999
1032,0.387999
1033,0.387999
1034,0.387999
1035,0.387999
1036,0.387999
1037,0.387999
1038,0.387999
1039,0.387999
1040,0.387999
1041,0.388
1042,0.388
1043,0.388
1044,0.388
1045,0.388
1046,0.388
1047,0.388
1048,0.388
1049,0.388
1050,0.388
1051,0.388
1052,0.388001
1053,0.388001
1054,0.388001
1055,0.388001
1056,0.388001
1057,0.388001
1058,0.388001
1059,0.388001
1060,0.388001
1061,0.388001
1062,0.388001
1063,0.388002
1064,0.388002
1065,0.388002
1066,0.388002
1067,0.388002
1068,0.388002
1069,0.388002
1070,0.388002
1071,0.388002
1072,0.388002
1073,0.388002
1074,0.388002
1075,0.388003
1076,0.388003
1077,0.388003
1078,0.388003
1079,0.388003
1080,0.388003
1081,0.388003
1082,0.388003
1083,0.388003
1084,0.388003
1085,0.388003
1086,0.388004
1087,0.388004
1088,0.388004
1089,0.388004
1090,0.388004
1091,0.388004
1092,0.388004
1093,0.388004
1094,0.388004
1095,0.388004
1096,0.388004
1097,0.388005
1098,0.388005
1099,0.388005
1100,0.388005
1101,0.388005
1102,0.388005
1103,0.388005
1104,0.388005
1105,0.388005
1106,0.388005
1107,0.388005
1108,0.388006
1109,0.388006
1110,0.388006
1111,0.388006
1112,0.388006
1113,0.388006
1114,0.388006
1115,0.388006
1116,0.388006
1117,0.388006
1118,0.388006
1119,0.388006
1120,0.388007
1121,0.388007
1122,0.388007
1123,0.388007
1124,0.388007
1125,0.388007
1126,0.388007
1127,0.388007
1128,0.388007
1129,0.388007
1130,0.388007
1131,0.388008
1132,0.388008
1133,0.388008
1134,0.388008
